mode,contractAnchorDate,marketGroup,area,commodity,pricing,product,maturityType,delivery,requestedTradeDate,windowStartDate,windowEndDate,tradeDate,status,settlementPrice,volume,grossOpenInterest,shortCode,maturity,assumedCode,httpStatus,errorMessage
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-03-16,2026-03-22,2026-03-20,ok,,,297196,G3BM,202603,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-03-16,2026-03-22,2026-03-19,ok,,,297196,G3BM,202603,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-03-16,2026-03-22,2026-03-18,ok,,,297196,G3BM,202603,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-03-16,2026-03-22,2026-03-17,ok,,,297196,G3BM,202603,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-03-16,2026-03-22,2026-03-16,ok,,,297196,G3BM,202603,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Apr-26,,2026-03-16,2026-03-22,2026-03-20,ok,59.565,2577600,69084,G3BM,202604,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Apr-26,,2026-03-16,2026-03-22,2026-03-19,ok,61.876,4181760,67422,G3BM,202604,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Apr-26,,2026-03-16,2026-03-22,2026-03-18,ok,54.693,3625200,64605,G3BM,202604,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Apr-26,,2026-03-16,2026-03-22,2026-03-17,ok,51.539,2502000,61735,G3BM,202604,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Apr-26,,2026-03-16,2026-03-22,2026-03-16,ok,51.044,3307680,59566,G3BM,202604,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month May-26,,2026-03-16,2026-03-22,2026-03-20,ok,59.896,685968,11435,G3BM,202605,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month May-26,,2026-03-16,2026-03-22,2026-03-19,ok,61.776,1064664,11034,G3BM,202605,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month May-26,,2026-03-16,2026-03-22,2026-03-18,ok,54.39,770784,10266,G3BM,202605,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month May-26,,2026-03-16,2026-03-22,2026-03-17,ok,51.281,488064,9667,G3BM,202605,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month May-26,,2026-03-16,2026-03-22,2026-03-16,ok,50.798,684480,9330,G3BM,202605,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jun-26,,2026-03-16,2026-03-22,2026-03-20,ok,59.82,1869840,11581,G3BM,202606,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jun-26,,2026-03-16,2026-03-22,2026-03-19,ok,61.722,1674720,9039,G3BM,202606,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jun-26,,2026-03-16,2026-03-22,2026-03-18,ok,53.863,45360,6760,G3BM,202606,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jun-26,,2026-03-16,2026-03-22,2026-03-17,ok,50.902,878400,6722,G3BM,202606,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jun-26,,2026-03-16,2026-03-22,2026-03-16,ok,50.3,143280,5672,G3BM,202606,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jul-26,,2026-03-16,2026-03-22,2026-03-20,ok,59.34,25296,1519,G3BM,202607,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jul-26,,2026-03-16,2026-03-22,2026-03-19,ok,60.675,5952,1488,G3BM,202607,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jul-26,,2026-03-16,2026-03-22,2026-03-18,ok,53.013,26784,1480,G3BM,202607,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jul-26,,2026-03-16,2026-03-22,2026-03-17,ok,50.365,17856,1444,G3BM,202607,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Jul-26,,2026-03-16,2026-03-22,2026-03-16,ok,49.478,2976,1426,G3BM,202607,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Aug-26,,2026-03-16,2026-03-22,2026-03-20,ok,59.528,16368,1541,G3BM,202608,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Aug-26,,2026-03-16,2026-03-22,2026-03-19,ok,60.867,4464,1520,G3BM,202608,False,200,
range,2026-03-22,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Aug-26,,2026-03-16,2026-03-22,2026-03-18,ok,53.181,2232,1514,G3BM,202608,False,200,
